,hetrz strains,antigneic_map strains
76,rNA_104_H3N2_A/Cambodia/e0826360/2020,HN206/2009
77,rNA_106_B_B/Washington/02/2019,VN019/EL442/2010
78,rNA_113_B_B/Austria/1359417/2021,VN020/EL443/2010
79,rNA_115_H3N2_A/Darwin/6/2021,VN021/EL444/2010
80,rNA_206_H5N1_A/Thailand/1(KAN-1)/2004,VN053/2010
81,rNA_208_H1N1_A/Brisbane/02/2018,
82,rNA_210_H3N2_A/Kansas/14/2017,
83,rNA_212_B_B/Colorado/06/2017,
84,rNA_215_H1N1_A/California/07/2009,
85,rNA_216_H3N2_A/Aichi/2/1968,
86,rNA_218_H3N2_A/Wisconsin/67/2005,
87,rNA_70_H5N1_A/Hubei/1/2010,
88,rNA_71_H5N1_A/Thailand/1(KAN-1)/2004,
89,rNA_72_H3N2_A/Babol/36/2005,
90,rNA_73_H3N2_A/Hong_Kong/4801/2014,
91,rNA_74_H1N1_A/Michigan/45/2015,
92,rNA_75_B_B/Phuket/3073/2013,
93,rNA_76_H7N9_A/Shanghai/1/2013,
94,rNA_77_H7N9_A/Anhui/1/2013,
95,rNA_78_H1N1_A/USSR/90/1977,
96,rNA_91_H1N1_A/California/04/2009,
97,rNA_99_H5N1_A/Anhui/1/2005,
98,rNA_BEI_14_B_B/Hong_Kong/330/2001,
99,rNA_BEI_15_H3N2_A/Wisconsin/67/2005,
100,rNA_BEI_2_H7N9_A/Anhui/1/2013,
101,rNA_BEI_5_B_B/Florida/4/2006,
102,rNA_BEI_7_H1N1_A/Puerto_Rico/8/1934,
103,rNP_56_H1N1_A/PuertoRico/8/1934,
104,rNS1_55_H1N1_A/PuertoRico/8/1934,
105,rNS2_54_H1N1_A/PuertoRico/8/1934,
106,Comments,
107,array_num,
108,date,
109,group,
110,slide,
111,Name,
112,SUBJ_ID,
113,VISIT,
114,orig_ptid,
115,B_HA_magnitude,
116,B_HA_gmean_magnitude,
117,rHA1_107_B_B/PHUKET/3073/2013_binarized,
118,rHA1_2_B_B/Yamagata/16/1988_binarized,
119,rHA_105_B_B/Washington/02/2019_binarized,
120,rHA_10_B_B/Florida/4/2006_binarized,
121,rHA_112_B_B/Austria/1359417/2021_binarized,
122,rHA_13_B_B/Brisbane/60/2008_binarized,
123,rHA_20_B_B/Phuket/3073/2013_binarized,
124,rHA_211_B_B/Colorado/06/2017_binarized,
125,rHA_7_B_B/Malaysia/2506/2004_binarized,
126,rHA_BEI_10_B_B/Florida/4/2006_binarized,
127,B_HA_breadth,
128,H3N2_HA_magnitude,
129,H3N2_HA_gmean_magnitude,
130,rHA1_17_H3N2_A/Victoria/361/2011_binarized,
131,rHA1_18_H3N2_A/Texas/50/2012_binarized,
132,rHA1_23_H3N2_A/NewYork/55/2004_binarized,
133,rHA1_3_H3N2_A/Guizhou/54/1989_binarized,
134,rHA1_96_H3N2_A/California/7/2004_binarized,
135,rHA1_97_H3N2_A/HongKong/4801/2014_binarized,
136,rHA2_116_H3N2_A/HongKong/4801/2014_binarized,
137,rHA_103_H3N2_A/Cambodia/e0826360/2020_binarized,
138,rHA_108_H3N2_A/HongKong/2671/2019_binarized,
139,rHA_114_H3N2_A/Darwin/6/2021_binarized,
140,rHA_12_H3N2_A/Brisbane/10/2007_binarized,
141,rHA_14_H3N2_A/Perth/16/2009_binarized,
142,rHA_16_H3N2_A/Victoria/210/2009_binarized,
